swimmerID,firstName,lastName,dob,age,gender,divisionID
swmr01,Ross,Geller,2010-12-29,13,M,div01
swmr02,Monica,Bing,2010-05-05,13,F,div02
swmr03,Farhan,Khan,2010-01-21,14,M,div03
swmr04,Madison,Heart,2009-10-16,14,F,div04
swmr05,Bill,Marley,2008-08-17,15,M,div05
swmr06,Valentina,Jones,2008-12-25,15,F,div06
swmr07,Michael,Lee,2010-06-04,13,M,div01
swmr08,Farhana,Sheikh,2011-01-26,13,F,div02
swmr09,Arafat,Majumder,2009-11-12,14,M,div03
swmr10,Madison,Heart,2009-12-30,14,F,div04
swmr11,Robinson,Clark,2008-07-21,15,M,div05
swmr12,Anisha,Sitaula,2009-01-09,15,F,div06
swmr13,Mobasshir,Hamid,2011-01-11,13,M,div01
swmr14,Pushpa,Basnet,2010-05-17,13,F,div02
swmr15,Jason,Stuart,2009-12-19,14,M,div03
swmr16,Margaret,Jones,2009-10-12,14,F,div04
swmr17,Mark,Hales,2008-03-17,15,M,div05
swmr18,Kareena,Nupur,2008-11-23,15,F,div06
swmr19,Tom,Petersen,2011-01-23,13,M,div01
swmr20,Margaret,Jones,2010-08-27,13,F,div02
swmr21,Peter,Gibbs,2010-01-01,14,M,div03
swmr22,Angelina,Perry,2010-01-12,14,F,div04
swmr23,Andrew,Donald,2008-12-07,15,M,div05
swmr24,Mehnaz,Chowdhury,2009-01-13,15,F,div06
swmr25,Arjun,Roy,2010-09-03,13,M,div01
swmr26,Sarah,Anwar,2010-04-18,13,F,div02
swmr27,Rahul,Kartik,2009-06-16,14,M,div03
swmr28,Stephanie,Atkinson,2009-04-11,14,F,div04
swmr29,Jackson,Lynn,2008-06-05,15,M,div05
swmr30,Linda,Alison,2009-01-27,15,F,div06
swmr31,Taylor,Johnson,2010-12-29,13,M,div01
swmr32,Charlotte,Amelia,2010-05-05,13,F,div02
swmr33,Aaron,Frazer,2010-01-21,14,M,div03
swmr34,Isla,Fisher,2009-10-16,14,F,div04
swmr35,Mathew,Perry,2008-08-17,15,M,div05
swmr36,Christie,Brown,2008-12-25,15,F,div06
swmr37,Durand,Jones,2010-06-04,13,M,div01
swmr38,Jessy,Lee,2011-01-26,13,F,div02
swmr39,Leo,Moore,2009-11-12,14,M,div03
swmr40,Priyanka,Chopra,2009-12-30,14,F,div04
swmr41,Alan,Rickman,2008-07-21,15,M,div05
swmr42,Eva,Clark,2009-01-09,15,F,div06
swmr43,Ben,Chilwell,2011-01-11,13,M,div01
swmr44,Emilia,Thompson,2010-05-17,13,F,div02
swmr45,James,Madison,2009-12-19,14,M,div03
swmr46,Jessika,Willson,2009-10-12,14,F,div04
swmr47,Granit,Xaka,2008-03-17,15,M,div05
swmr48,Olovia,Robinson,2008-11-23,15,F,div06
swmr49,Shojib,Rahman,2011-01-23,13,M,div01
swmr50,Maria,Leon,2010-08-27,13,F,div02
swmr51,Julian,Araujo,2010-01-01,14,M,div03
swmr52,Martha,Stuart,2010-01-12,14,F,div04
swmr53,Jason,Schwartz,2008-12-07,15,M,div05
swmr54,Marina,Svetlova,2009-01-13,15,F,div06
swmr55,Daley,Blind,2010-09-03,13,M,div01
swmr56,Daniela,Perreira,2010-04-18,13,F,div02
swmr57,Nico,Gonzalez,2009-06-16,14,M,div03
swmr58,Maria,Gomez,2009-04-11,14,F,div04
swmr59,Danny,Oscar,2008-05-14,15,M,div05
swmr60,Alisha,Ben,2009-01-27,15,F,div06
swmr61,Mario,Alvarez,2010-12-29,13,M,div01
swmr62,Hira,Khan,2010-05-05,13,F,div02
swmr63,Saurav,Dhakal,2010-01-21,14,M,div03
swmr64,Sarita,KC,2009-10-16,14,F,div04
swmr65,James,Anderson,2008-08-17,15,M,div05
swmr66,Katy,Jones,2008-12-25,15,F,div06
swmr67,Atif,Anwar,2010-06-04,13,M,div01
swmr68,Anika,Nawar,2011-01-26,13,F,div02
swmr69,Daniela,Smas,2009-11-12,14,M,div03
swmr70,Dalia,Frezer,2009-12-30,14,F,div04
swmr71,Tony,Adkins,2009-08-03,14,M,div03
swmr72,Milagros,Ahmed,2010-08-21,13,F,div02
swmr73,Matthias,Morrison,2009-03-03,14,M,div03
swmr74,Jazmin,Nava,2009-04-24,14,F,div04
swmr75,Deshawn,Burke,2008-03-28,15,M,div05
swmr76,Karley,Lynch,2008-04-23,15,F,div06
swmr77,Trevor,Huffman,2008-05-15,15,M,div05
swmr78,Ada,Clayton,2010-10-21,13,F,div02
swmr79,Devyn,Nelson,2009-08-14,14,M,div03
swmr80,Bryanna,Hale,2010-11-11,13,F,div02
swmr81,Jaxson,Chan,2008-06-05,15,M,div05
swmr82,Nyasia,Harper,2009-01-13,15,F,div06
swmr83,Luke,Jefferson,2010-10-18,13,M,div01
swmr84,Catherine,Warner,2010-03-03,13,F,div02
swmr85,Kendrick,Lu,2010-03-24,13,M,div01
